window_id,p_divergent,p_convergent,p_incubation,p_conflict,predicted_phase,confidence
0,0.9924402576069707,3.709251463121792e-06,0.0,0.007556033141566066,divergent,0.9924402576069707
1,0.9577995374480915,0.00012344971948213,0.0,0.04207701283242638,divergent,0.9577995374480915
2,0.7919749591176686,0.003682308795864644,0.0,0.20434273208646683,divergent,0.7919749591176686
3,0.6963141808162214,0.008755557252645704,0.0,0.2949302619311329,divergent,0.6963141808162214
4,0.6235184275740294,0.014666182702197226,0.0,0.3618153897237734,divergent,0.6235184275740294
5,0.5657006554139343,0.020969344849036863,0.0,0.4133299997370287,divergent,0.5657006554139343
6,0.5145955664056993,0.028010585994071205,0.0,0.4573938476002294,divergent,0.5145955664056993
7,0.40862568681531763,0.04810610534277209,0.004018219712007188,0.539249988129903,conflict,0.539249988129903
8,0.3318227087930773,0.07070993753939568,0.0,0.597467353667527,conflict,0.597467353667527
9,0.22362030299715274,0.12135246984519742,0.0,0.6550272271576498,conflict,0.6550272271576498
10,0.20544994730829447,0.13370216650236585,0.0,0.6608478861893398,conflict,0.6608478861893398
11,0.12882057768081046,0.21235386301271925,0.0,0.6588255593064704,conflict,0.6588255593064704
12,0.07345389589440306,0.3240072585367011,0.0,0.6025388455688959,conflict,0.6025388455688959
13,0.033254456437422995,0.48263798779470585,0.0,0.48410755576787107,conflict,0.48410755576787107
14,0.04167054495941022,0.43898075773794526,0.0,0.5193486973026445,conflict,0.5193486973026445
15,0.015624547482525487,0.6137205903081697,0.0,0.3706548622093049,convergent,0.6137205903081697
16,0.0038157466316544493,0.7886413057547159,0.0,0.2075429476136296,convergent,0.7886413057547159
17,0.001482298185065292,0.8625267082268313,0.0,0.13599099358810343,convergent,0.8625267082268313
18,0.0002865884990815494,0.9366753010961435,0.0,0.0630381104047749,convergent,0.9366753010961435
19,3.1133191798037374e-06,0.9930679533363734,0.0,0.0069289333444467445,convergent,0.9930679533363734
