window_id,p_divergent,p_convergent,predicted_phase,confidence
0,0.9994725463147878,0.0005274536852121703,divergent,0.9994725463147878
1,0.9930312705025539,0.006968729497446102,divergent,0.9930312705025539
2,0.9703541167432104,0.029645883256789563,divergent,0.9703541167432104
3,0.9483919969111672,0.05160800308883288,divergent,0.9483919969111672
4,0.9271350717354484,0.0728649282645516,divergent,0.9271350717354484
5,0.9064378683668516,0.09356213163314835,divergent,0.9064378683668516
6,0.8718648835256526,0.12813511647434736,divergent,0.8718648835256526
7,0.8351527309935944,0.16484726900640553,divergent,0.8351527309935944
8,0.739463958712051,0.260536041287949,divergent,0.739463958712051
9,0.7540654367581235,0.24593456324187643,divergent,0.7540654367581235
10,0.6891044361748254,0.31089556382517464,divergent,0.6891044361748254
11,0.6806109164061889,0.31938908359381113,divergent,0.6806109164061889
12,0.5659142704639665,0.4340857295360335,divergent,0.5659142704639665
13,0.4318208908032154,0.5681791091967846,convergent,0.5681791091967846
14,0.43059306675655445,0.5694069332434456,convergent,0.5694069332434456
15,0.3622509567987487,0.6377490432012513,convergent,0.6377490432012513
16,0.3511379967440241,0.648862003255976,convergent,0.648862003255976
17,0.2870911081184534,0.7129088918815466,convergent,0.7129088918815466
18,0.21078588691568179,0.7892141130843182,convergent,0.7892141130843182
19,0.17472919161675748,0.8252708083832425,convergent,0.8252708083832425
20,0.15199878299234373,0.8480012170076563,convergent,0.8480012170076563
21,0.12458740673552385,0.8754125932644762,convergent,0.8754125932644762
22,0.07551419114239644,0.9244858088576036,convergent,0.9244858088576036
23,0.04131975134037887,0.9586802486596211,convergent,0.9586802486596211
24,0.01775781502995026,0.9822421849700497,convergent,0.9822421849700497
25,0.5,0.5,divergent,0.5
26,0.0,1.0,convergent,1.0
