episode,window_id,p_divergent,p_convergent,p_incubation,p_conflict,predicted_phase_full,predicted_phase_dc,confidence,actor
TeamRoadTrip,0,0.9999999999999626,0.0,0.0,3.742548194604203e-14,divergent,divergent,0.9999999999999626,3
TeamRoadTrip,1,0.9999999999994795,0.0,1.2904080875978107e-13,3.914965122606704e-13,divergent,divergent,0.9999999999994795,1
TeamRoadTrip,2,0.933414792486322,0.0002292727545160534,0.0007622878950018655,0.06559364686416004,divergent,divergent,0.933414792486322,2
TeamRoadTrip,4,0.9999999999967187,0.0,2.370005324364253e-13,3.0443072031942415e-12,divergent,divergent,0.9999999999967187,3
TeamRoadTrip,5,0.7371215769273273,0.005550464152826525,0.0,0.2573279589198461,divergent,divergent,0.7371215769273273,1
TeamRoadTrip,6,0.5861091478711126,0.020119206070518467,0.0014026799219799887,0.39236896613638894,divergent,divergent,0.5861091478711126,2
TeamRoadTrip,8,0.6332875093926964,0.013710894933423357,0.0,0.35300159567388023,divergent,divergent,0.6332875093926964,3
TeamRoadTrip,9,0.4441471386035048,0.043333214052011876,0.0,0.5125196473444833,conflict,divergent,0.5125196473444833,1
TeamRoadTrip,10,0.2442727984814813,0.09535118837297048,0.0014777101430416381,0.6588983030025065,conflict,divergent,0.6588983030025065,2
TeamRoadTrip,12,0.2939924455682739,0.08658182691028585,0.019408237082609303,0.600017490438831,conflict,divergent,0.600017490438831,3
TeamRoadTrip,13,0.1734057830425691,0.16056448877912877,0.0,0.6660297281783022,conflict,divergent,0.6660297281783022,1
TeamRoadTrip,14,0.0981293894551793,0.25918893012605404,0.005055068122134058,0.6376266122966326,conflict,convergent,0.6376266122966326,2
TeamRoadTrip,16,0.13252662957246297,0.20928454516336512,0.0,0.6581888252641719,conflict,convergent,0.6581888252641719,3
TeamRoadTrip,17,0.06174891384125184,0.35388158966881206,0.0,0.5843694964899361,conflict,convergent,0.5843694964899361,1
TeamRoadTrip,18,0.0076560287851395485,0.7134995933411566,5.992500608923143e-05,0.2787844528676145,convergent,convergent,0.7134995933411566,2
TeamRoadTrip,20,0.0,0.9999999999985928,1.483507957472737e-13,1.2589843290471958e-12,convergent,convergent,0.9999999999985928,3
TeamRoadTrip,21,0.17610789354809714,0.1624465885674471,0.0,0.6614455178844558,conflict,divergent,0.6614455178844558,1
TeamRoadTrip,22,0.0,0.9999999999994655,0.0,5.343909246320113e-13,convergent,convergent,0.9999999999994655,2
TeamRoadTrip,24,0.009408763820946364,0.6919931898583791,0.0,0.2985980463206745,convergent,convergent,0.6919931898583791,3
TeamRoadTrip,25,0.0,0.0,0.0021599600517218757,0.9978400399482781,conflict,divergent,0.9978400399482781,1
TeamRoadTrip,26,0.02715076541137449,0.5330823133543237,0.0,0.4397669212343019,convergent,convergent,0.5330823133543237,2
TeamRoadTrip,28,0.0,0.0,0.02525249914760839,0.9747475008523916,conflict,divergent,0.9747475008523916,3
TeamRoadTrip,29,0.02421867660133158,0.5498971802746893,0.0,0.42588414312397926,convergent,convergent,0.5498971802746893,1
TeamRoadTrip,30,0.0011266613767486576,0.8853738500003562,0.0,0.1134994886228951,convergent,convergent,0.8853738500003562,2
TeamRoadTrip,32,0.0005985834128103542,0.9170740644242102,0.0,0.0823273521629793,convergent,convergent,0.9170740644242102,3
TeamRoadTrip,33,8.927102133791657e-05,0.9663276808790738,5.9634190441515326e-05,0.03352341390914677,convergent,convergent,0.9663276808790738,1
TeamRoadTrip,34,0.0,0.9999999999988662,0.0,1.1337225734169284e-12,convergent,convergent,0.9999999999988662,2
TeamRoadTrip,36,0.0,0.9999999999882293,2.8684232017647463e-13,1.1483832036096347e-11,convergent,convergent,0.9999999999882293,3
TeamRoadTrip,37,0.0,0.9999999999999668,0.0,3.30899763456862e-14,convergent,convergent,0.9999999999999668,1
TeamRoadTrip,38,0.0,0.0,0.0,1.0,conflict,divergent,1.0,2
